Short Address,العنوان الوطني المختصر
"This report shows purchased material quantities and costs for the selected period, converted to {0}.","يعرض هذا التقرير كميات وتكاليف المواد المشتراة خلال الفترة المحددة، بعد التحويل إلى {0}."
"This report shows manufactured item quantities and costs for the selected period, converted to {0}.","يعرض هذا التقرير كميات وتكاليف الأصناف المصنعة خلال الفترة المحددة، بعد التحويل إلى {0}."
"{0} The following items were skipped because they cannot be converted to weight reliably: {1}{2}","{0} تم تجاوز الأصناف التالية لأنه لا يمكن تحويلها إلى وزن بشكل موثوق: {1}{2}"
"Reason","السبب",""
"Rows shown in red have missing or incompatible unit/weight data and are excluded from totals.","الصفوف باللون الأحمر لديها نقص أو اختلاف في بيانات الوحدة أو الوزن، لذلك تم استبعادها من الإجماليات.",""
"Missing stock UOM.","الوحدة الأساسية للصنف غير مُدخلة.",""
"Missing item weight. Please add weight_per_unit in Item.","وزن الصنف غير مُدخل. أضف weight_per_unit في بطاقة الصنف.",""
"Missing weight UOM. Please add weight_uom in Item.","وحدة وزن الصنف غير مُدخلة. أضف weight_uom في بطاقة الصنف.",""
"Different item UOM ({0}). Please add valid weight_per_unit and weight_uom for conversion to {1}.","وحدة الصنف مختلفة ({0}). أضف weight_per_unit و weight_uom صالحين للتحويل إلى {1}.",""
"Unsupported weight UOM ({0}). Please use a weight unit that can be converted to Kg/Ton.","وحدة الوزن غير مدعومة ({0}). استخدم وحدة وزن يمكن تحويلها إلى كجم أو طن.",""
"Quantity could not be converted to the selected unit.","تعذر تحويل الكمية إلى الوحدة المختارة.",""
"Quantity by Period","الكميات حسب الفترة","Report"
"This report shows purchased and manufactured quantities and costs for the selected period, converted to the selected unit and grouped by Item Group.","يعرض هذا التقرير كميات وتكاليف المواد المشتراة والأصناف المصنعة خلال الفترة المحددة، مع تحويل الكمية إلى الوحدة المختارة وتجميعها حسب مجموعة الصنف.",""
"Collapse All","طي الكل",""
"Expand All","توسيع الكل",""
"Transaction Scope","نوع العملية",""
"Purchased Materials","مواد مشتراة",""
"Manufactured Items","أصناف تم تصنيعها",""
"Total Quantity ({0})","إجمالي الكمية ({0})",""
"Total Cost","إجمالي التكلفة",""
"Reason","السبب",""
"Missing stock UOM.","الوحدة الأساسية للصنف غير مُدخلة.",""
"No standard UOM conversion from {0} to {1}, and item weight data is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، وبيانات وزن الصنف غير موجودة.",""
"No standard UOM conversion from {0} to {1}, and weight_per_unit is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، والحقل weight_per_unit غير مُدخل.",""
"No standard UOM conversion from {0} to {1}, and weight_uom is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، والحقل weight_uom غير مُدخل.",""
"No standard UOM conversion from {0} to {1}, and weight_uom ({2}) is unsupported.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، ووحدة الوزن ({2}) غير مدعومة.",""
"Unknown reason.","سبب غير معروف.",""
"No Item Group","بدون مجموعة صنف",""
"Grand Total","الإجمالي الكلي",""
"Unit Cost / {0}","تكلفة الوحدة / {0}",""
"Item / Group","الصنف / المجموعة",""
"Qty ({0})","الكمية ({0})",""
"From Date and To Date are required for Custom mode.","يجب إدخال من تاريخ وإلى تاريخ عند اختيار الوضع المخصص.",""
"From Date cannot be after To Date.","لا يمكن أن يكون من تاريخ بعد إلى تاريخ.",""
"Month is required.","الشهر مطلوب.",""
"Year is required.","السنة مطلوبة.",""
"Year option is required.","خيار السنة مطلوب.",""
"Invalid month.","الشهر غير صحيح.",""
"Conversion Basis","أساس التحويل",""
"Stock UOM","الوحدة الأساسية للصنف",""
"Standard UOM Conversion","تحويل وحدة قياسي",""
"BOM taj_total_weight","حقل taj_total_weight من الـ BOM",""
"Item weight fields","حقول وزن الصنف",""
"Business rule: Liter = Kg","قاعدة العمل: اللتر = الكيلو",""
"Business rule: Milliliter = Gram","قاعدة العمل: الملليلتر = الجرام",""
"Used business rule: Liter = Kg.","تم استخدام قاعدة العمل: اللتر = الكيلو.",""
"Used business rule: Milliliter = Gram.","تم استخدام قاعدة العمل: الملليلتر = الجرام.",""
"No conversion rule found from {0} to {1}.","لا توجد قاعدة تحويل من {0} إلى {1}.",""
