Short Address,العنوان الوطني المختصر
"Missing item weight. Please add weight_per_unit in Item.","وزن الصنف غير مُدخل. أضف weight_per_unit في بطاقة الصنف.",""
"Missing weight UOM. Please add weight_uom in Item.","وحدة وزن الصنف غير مُدخلة. أضف weight_uom في بطاقة الصنف.",""
"Different item UOM ({0}). Please add valid weight_per_unit and weight_uom for conversion to {1}.","وحدة الصنف مختلفة ({0}). أضف weight_per_unit و weight_uom صالحين للتحويل إلى {1}.",""
"Unsupported weight UOM ({0}). Please use a weight unit that can be converted to Kg/Ton.","وحدة الوزن غير مدعومة ({0}). استخدم وحدة وزن يمكن تحويلها إلى كجم أو طن.",""
"Quantity could not be converted to the selected unit.","تعذر تحويل الكمية إلى الوحدة المختارة.",""
"Quantity by Period","الكميات حسب الفترة","Report"
"This report shows purchased and manufactured quantities and costs for the selected period, converted to the selected unit and grouped by Item Group.","يعرض هذا التقرير كميات وتكاليف المواد المشتراة والأصناف المصنعة خلال الفترة المحددة، مع تحويل الكمية إلى الوحدة المختارة وتجميعها حسب مجموعة الصنف.",""
"Collapse All","طي الكل",""
"Expand All","توسيع الكل",""
"No standard UOM conversion from {0} to {1}, and item weight data is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، وبيانات وزن الصنف غير موجودة.",""
"No standard UOM conversion from {0} to {1}, and weight_per_unit is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، والحقل weight_per_unit غير مُدخل.",""
"No standard UOM conversion from {0} to {1}, and weight_uom is missing.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، والحقل weight_uom غير مُدخل.",""
"No standard UOM conversion from {0} to {1}, and weight_uom ({2}) is unsupported.","لا يوجد تحويل قياسي للوحدة من {0} إلى {1}، ووحدة الوزن ({2}) غير مدعومة.",""
"Unknown reason.","سبب غير معروف.",""
"Grand Total","الإجمالي الكلي",""
"Conversion Basis","أساس التحويل",""
"Stock UOM","الوحدة الأساسية للصنف",""
"Standard UOM Conversion","تحويل وحدة قياسي",""
"BOM taj_total_weight","حقل taj_total_weight من الـ BOM",""
"Item weight fields","حقول وزن الصنف",""
"Business rule: Liter = Kg","قاعدة العمل: اللتر = الكيلو",""
"Business rule: Milliliter = Gram","قاعدة العمل: الملليلتر = الجرام",""
"Used business rule: Liter = Kg.","تم استخدام قاعدة العمل: اللتر = الكيلو.",""
"Used business rule: Milliliter = Gram.","تم استخدام قاعدة العمل: الملليلتر = الجرام.",""
"No conversion rule found from {0} to {1}.","لا توجد قاعدة تحويل من {0} إلى {1}.",""
"Default Required Worker Count (Optional)","العدد الافتراضي المطلوب من العمال (اختياري)"
"Required Worker Count (Production)","العدد المطلوب من العمال (الإنتاج)"
"Required Workers (Production)","العمال المطلوبون (الإنتاج)"
"Set by Production for this checklist run.","يحدده الإنتاج لهذا الفحص."
"Required worker count updated.","تم تحديث العدد المطلوب من العمال."
"External Workforce Attendance","حضور العمالة الخارجية"
"Worker Company","شركة العمالة"
"Badge / Worker No.","رقم العامل / البطاقة"
"Staffing Status","حالة العدد المطلوب"
"You do not have access to External Workforce Attendance.","ليس لديك صلاحية للوصول إلى تقرير حضور العمالة الخارجية."
"Required Worker Count cannot be negative.","لا يمكن أن يكون العدد المطلوب من العمال سالبًا."
"Cycle & Deadline Behavior","سلوك الدورة والموعد"
"Cycle Behavior","سلوك الدورة"
"Fresh Every Cycle","جديد في كل دورة"
"Continue Until Completed","استمرار حتى الاكتمال"
"Required Before Production","مطلوب قبل الإنتاج"
"Notify When Overdue","تنبيه عند التأخير"
"Escalate After Minutes","التصعيد بعد (دقائق)"
"Escalation User","مستخدم التصعيد"
"Cycle & Production Audit","تدقيق الدورة وبدء الإنتاج"
"Overdue Notified At","تم تنبيه التأخير في"
"Escalated At","تم التصعيد في"
"Production Started Before Completion","بدأ الإنتاج قبل اكتمال الفحص"
"Production Started At","بدأ الإنتاج في"
"Production Work Order","أمر الإنتاج"
"Completion % At Production Start","نسبة الاكتمال عند بدء الإنتاج"
"Incomplete Items At Production Start","البنود غير المكتملة عند بدء الإنتاج"
"Auto Closed - Incomplete","أغلق تلقائياً - غير مكتمل"
"Missed","لم يتم التنفيذ"
"Production Started Early","بدأ الإنتاج قبل اكتمال المتطلبات"
"Production Started Before Checklist Completion","بدأ الإنتاج قبل اكتمال قائمة الفحص"
"Completion At Production Start","الاكتمال عند بدء الإنتاج"
"Incomplete At Production Start","غير المكتمل عند بدء الإنتاج"
"Checklist Overdue: {0}","قائمة الفحص متأخرة: {0}"
"Checklist Escalated: {0}","تم تصعيد قائمة الفحص: {0}"
"A checklist required before production must use Fresh Every Cycle behavior.","قائمة الفحص المطلوبة قبل الإنتاج يجب أن تكون جديدة في كل دورة."
"Overdue notification must be enabled before escalation can be configured.","يجب تفعيل تنبيه التأخير قبل إعداد التصعيد."
"Escalate After Minutes is required when an Escalation User is configured.","يجب تحديد مدة التصعيد بالدقائق عند تحديد مستخدم للتصعيد."
"Checklist not submitted","لم يتم إرسال قائمة الفحص"
"Checklist cannot be started before its scheduled start time: {0}.","لا يمكن بدء قائمة الفحص قبل وقت البدء المجدول: {0}."
"Scheduled start","وقت البدء المجدول"
"This checklist is view-only until its scheduled start time.","قائمة الفحص للعرض فقط حتى يحين وقت البدء المجدول."
"Asset","الأصل"
"Optional physical equipment scope. Use this when multiple assets share the same maintenance template.","ربط اختياري بالمعدة الفعلية لتمييز الأصول التي تستخدم نفس نموذج الصيانة."
